Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForDataDriven,Chrome 86.0.4240.75,,,2020-10-12 15:04:52,2020-10-12 15:05:38,45.744s,FAILED
,,,,,,,
Test Cases/data_driven/TC_data,Chrome 86.0.4240.75,,,2020-10-12 15:04:54,2020-10-12 15:05:24,30.511s,FAILED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-12 15:04:55,2020-10-12 15:05:16,21.390s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-12 15:05:16,2020-10-12 15:05:20,4.108s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 86.0.4240.75,,,2020-10-12 15:05:20,2020-10-12 15:05:21,0.702s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 86.0.4240.75,,,2020-10-12 15:05:21,2020-10-12 15:05:23,1.708s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 86.0.4240.75,,,2020-10-12 15:05:23,2020-10-12 15:05:24,0.964s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 86.0.4240.75,,,2020-10-12 15:05:24,2020-10-12 15:05:24,0.721s,FAILED
,,,,,,,
Test Cases/data_driven/TC_data,Chrome 86.0.4240.75,,,2020-10-12 15:05:24,2020-10-12 15:05:38,13.240s,FAILED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-12 15:05:25,2020-10-12 15:05:31,6.895s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-12 15:05:31,2020-10-12 15:05:35,3.390s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 86.0.4240.75,,,2020-10-12 15:05:35,2020-10-12 15:05:35,0.467s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 86.0.4240.75,,,2020-10-12 15:05:35,2020-10-12 15:05:36,1.109s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 86.0.4240.75,,,2020-10-12 15:05:36,2020-10-12 15:05:37,0.864s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 86.0.4240.75,,,2020-10-12 15:05:37,2020-10-12 15:05:38,0.452s,FAILED
