Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForDataDriven,Chrome 86.0.4240.75,,,2020-10-12 15:11:52,2020-10-12 15:12:41,48.608s,FAILED
,,,,,,,
Test Cases/data_driven/TC_data,Chrome 86.0.4240.75,,,2020-10-12 15:11:53,2020-10-12 15:12:30,36.190s,FAILED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-12 15:11:54,2020-10-12 15:12:09,14.520s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-12 15:12:09,2020-10-12 15:12:26,17.408s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 86.0.4240.75,,,2020-10-12 15:12:26,2020-10-12 15:12:27,0.671s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 86.0.4240.75,,,2020-10-12 15:12:27,2020-10-12 15:12:28,1.080s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 86.0.4240.75,,,2020-10-12 15:12:28,2020-10-12 15:12:29,0.876s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 86.0.4240.75,,,2020-10-12 15:12:29,2020-10-12 15:12:30,0.926s,FAILED
,,,,,,,
Test Cases/data_driven/TC_data,Chrome 86.0.4240.75,,,2020-10-12 15:12:30,2020-10-12 15:12:41,11.444s,FAILED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-12 15:12:30,2020-10-12 15:12:34,4.529s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-12 15:12:34,2020-10-12 15:12:38,3.962s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 86.0.4240.75,,,2020-10-12 15:12:38,2020-10-12 15:12:39,0.437s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 86.0.4240.75,,,2020-10-12 15:12:39,2020-10-12 15:12:40,1.145s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 86.0.4240.75,,,2020-10-12 15:12:40,2020-10-12 15:12:41,0.845s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 86.0.4240.75,,,2020-10-12 15:12:41,2020-10-12 15:12:41,0.485s,FAILED
